Month,Price,Change
2/1/2019,"4,352.94",8.74%
3/1/2019,"4,432.04",1.82%
4/1/2019,"4,761.33",7.43%
5/1/2019,"4,664.02",-2.04%
6/1/2019,"4,149.67",-11.03%
7/1/2019,"4,230.22",1.94%
8/1/2019,"4,102.97",-3.01%
9/1/2019,"4,282.87",4.38%
10/1/2019,"4,069.14",-4.99%
11/1/2019,"4,314.32",6.03%
12/1/2019,"4,509.77",4.53%
1/1/2020,"4,395.91",-2.52%
2/1/2020,"3,811.78",-13.29%
3/1/2020,"2,392.98",-37.22%
4/1/2020,"1,603.02",-33.01%
5/1/2020,"2,298.55",43.39%
